,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2023-03-17,416.83,418.15,408.52,413.69,413.69,3124288,0.0,1.0
1,2023-03-16,405.39,420.28,401.205,418.15,418.15,1966165,0.0,1.0
2,2023-03-15,404.28,408.28,401.63,406.32,406.32,1852664,0.0,1.0
3,2023-03-14,400.63,409.14,398.95,408.3,408.3,2236668,0.0,1.0
4,2023-03-13,392.41,397.82,384.05,391.56,391.56,2394706,0.0,1.0
5,2023-03-10,403.43,404.63,388.82,392.61,392.61,2855381,0.0,1.0
6,2023-03-09,418.8,424.68,403.74,404.58,404.58,1723758,0.0,1.0
7,2023-03-08,408.16,418.175,408.0,416.67,416.67,1448847,0.0,1.0
8,2023-03-07,413.08,418.2,408.44,409.29,409.29,1261512,0.0,1.0
9,2023-03-06,408.58,419.71,406.72,412.71,412.71,1459234,0.0,1.0
10,2023-03-03,401.59,410.72,400.09,408.52,408.52,1550932,0.0,1.0
11,2023-03-02,398.86,402.89,393.87,400.37,400.37,1516517,0.0,1.0
12,2023-03-01,405.0,406.38,396.42,401.27,401.27,1651058,0.0,1.0
13,2023-02-28,410.0,413.0839,405.37,407.18,407.18,2218942,0.0,1.0
14,2023-02-27,421.38,422.55,412.0382,412.62,412.62,2166398,0.0,1.0
15,2023-02-24,404.99,429.99,404.11,419.81,419.81,4044666,0.0,1.0
16,2023-02-23,410.83,416.24,404.04,411.88,411.88,2476097,0.0,1.0
17,2023-02-22,400.53,408.09,397.79,406.38,406.38,1688018,0.0,1.0
18,2023-02-21,396.35,400.16,393.69,396.26,396.26,1331920,0.0,1.0
19,2023-02-17,406.41,406.51,396.87,404.38,404.38,1626287,0.0,1.0
20,2023-02-16,409.17,416.58,406.55,408.36,408.36,1281720,0.0,1.0
21,2023-02-15,418.29,423.19,414.44,421.24,421.24,865594,0.0,1.0
22,2023-02-14,416.43,426.22,412.265,421.97,421.97,878624,0.0,1.0
23,2023-02-13,415.98,419.22,413.91,418.09,418.09,1028948,0.0,1.0
24,2023-02-10,415.0,416.11,408.9,413.52,413.52,998370,0.0,1.0
25,2023-02-09,430.64,431.99,418.2851,419.74,419.74,1098616,0.0,1.0
26,2023-02-08,426.65,430.65,417.7001,421.74,421.74,1055058,0.0,1.0
27,2023-02-07,412.74,429.88,409.015,427.67,427.67,1400754,0.0,1.0
28,2023-02-06,417.65,418.26,412.7,414.99,414.99,1337921,0.0,1.0
29,2023-02-03,440.76,440.91,421.69,423.76,423.76,1843210,0.0,1.0
30,2023-02-02,443.96,457.94,442.09,452.16,452.16,1917634,0.0,1.0
31,2023-02-01,420.35,437.96,416.005,435.55,435.55,1521652,0.0,1.0
32,2023-01-31,416.45,422.92,415.1,422.67,422.67,1174618,0.0,1.0
33,2023-01-30,416.14,420.53,412.24,416.45,416.45,1543534,0.0,1.0
34,2023-01-27,408.32,428.7,407.27,422.62,422.62,1724997,0.0,1.0
35,2023-01-26,409.95,413.22,402.08,412.55,412.55,1282609,0.0,1.0
36,2023-01-25,394.3,403.95,385.49,401.9,401.9,1131996,0.0,1.0
37,2023-01-24,410.0,410.0,398.74,401.55,401.55,1189633,0.0,1.0
38,2023-01-23,400.73,410.51,399.12,410.0,410.0,2211868,0.0,1.0
39,2023-01-20,383.27,400.3099,382.55,398.07,398.07,1702062,0.0,1.0
40,2023-01-19,383.14,388.97,378.22,378.6,378.6,1082148,0.0,1.0
41,2023-01-18,392.1,401.315,385.64,386.07,386.07,1603307,0.0,1.0
42,2023-01-17,392.0,395.29,386.75,390.2,390.2,1658658,0.0,1.0
43,2023-01-13,390.0,394.63,386.46,393.21,393.21,1311178,0.0,1.0
44,2023-01-12,398.27,398.27,386.03,396.7,396.7,1098972,0.0,1.0
45,2023-01-11,388.28,395.83,384.29,395.31,395.31,1587429,0.0,1.0
46,2023-01-10,387.58,394.96,385.53,388.68,388.68,1069930,0.0,1.0
47,2023-01-09,391.1,402.64,388.16,395.34,395.34,1331555,0.78,1.0
48,2023-01-06,380.24,389.34,370.62,386.52,385.758903362617,1312858,0.0,1.0
49,2023-01-05,386.35,387.47,375.0,375.62,374.880366555589,1263887,0.0,1.0
50,2023-01-04,397.58,399.72,387.6,391.57,390.798959406241,1209717,0.0,1.0
51,2023-01-03,396.7,404.45,385.22,391.18,390.409727355347,1874001,0.0,1.0
52,2022-12-30,386.01,389.44,382.68,389.22,388.453586791881,948917,0.0,1.0
53,2022-12-29,380.38,391.98,377.555,390.87,390.100337776431,1004562,0.0,1.0
54,2022-12-28,385.36,388.4982,374.82,376.5,375.758633747349,843565,0.0,1.0
55,2022-12-27,383.44,385.3399,377.4638,383.11,382.355617994547,823347,0.0,1.0
56,2022-12-23,383.32,385.43,378.5,384.49,383.732900636171,705171,0.0,1.0
57,2022-12-22,385.35,387.75,376.76,383.95,383.193963950318,1314606,0.0,1.0
58,2022-12-21,389.43,396.39,384.26,393.33,392.555493789761,1330126,0.0,1.0
59,2022-12-20,381.87,390.06,380.82,387.08,386.317800666465,1320220,0.0,1.0
60,2022-12-19,388.74,388.74,377.5,383.52,382.764810663435,1535452,0.0,1.0
61,2022-12-16,392.73,393.9899,380.5491,384.98,384.221935777037,3565663,0.0,1.0
62,2022-12-15,410.94,415.16,394.24,396.53,395.749192668888,1741524,0.0,1.0
63,2022-12-14,426.53,434.235,416.15,418.92,418.095104513784,1631448,0.0,1.0
64,2022-12-13,432.11,441.98,422.21,428.39,427.546457134202,3247691,0.0,1.0
65,2022-12-12,400.73,410.98,398.33,410.78,409.971132990003,1810523,0.0,1.0
66,2022-12-09,404.19,405.83,399.28,399.83,399.042694637988,1061329,0.0,1.0
67,2022-12-08,391.6,406.72,389.46,405.36,404.561805513481,1525725,0.0,1.0
68,2022-12-07,388.06,394.19,385.39,388.65,387.884709179037,968668,0.0,1.0
69,2022-12-06,395.45,395.49,385.16,389.78,389.012484095729,1209860,0.0,1.0
70,2022-12-05,401.16,404.195,393.18,395.14,394.361929718267,1499032,0.0,1.0
71,2022-12-02,401.87,409.17,400.16,407.92,407.116764616783,1876030,0.0,1.0
72,2022-12-01,407.89,418.22,405.0,416.07,415.250716449561,1943059,0.0,1.0
73,2022-11-30,375.49,411.49,374.0,407.59,406.787414419873,4902337,0.0,1.0
74,2022-11-29,381.63,385.335,377.43,379.71,378.962312935474,1716339,0.0,1.0
75,2022-11-28,394.38,398.7,383.48,385.64,384.880636170857,1691577,0.0,1.0
76,2022-11-25,394.85,395.83,391.48,392.47,391.697187215995,861769,0.0,1.0
77,2022-11-23,390.42,400.1,390.06,395.85,395.070531657074,1489068,0.0,1.0
78,2022-11-22,379.99,394.0,375.0,392.23,391.457659800061,2298740,0.0,1.0
79,2022-11-21,376.57,380.4,372.16,375.0,374.261587397758,1429458,0.0,1.0
80,2022-11-18,388.47,389.43,369.94,380.07,379.321604059376,2046170,0.0,1.0
81,2022-11-17,384.6,388.49,378.02,381.88,381.128039987882,2050259,0.0,1.0
82,2022-11-16,407.02,407.1,390.83,393.66,392.884843986671,1260116,0.0,1.0
83,2022-11-15,414.5,416.48,401.78,407.02,406.218536807028,2076375,0.0,1.0
84,2022-11-14,400.05,403.57,391.04,397.66,396.87696758558,1801837,0.0,1.0
85,2022-11-11,402.255,411.935,398.64,408.04,407.23652832475,1720185,0.0,1.0
86,2022-11-10,397.35,403.75,388.0,403.24,402.445980006059,3088323,0.0,1.0
